Benchmark,Fuzzer,min,max,mean,median,std
freetype2-2017,afl,4.3,12.721,5.2299216994382025,5.082,0.6689782574968358
freetype2-2017,aflfast,5.448,14.378,6.73543036484896,6.564,0.8312222754375219
freetype2-2017,aflplusplus,3.912,23.159,5.791399291282778,4.937,1.6826015765838938
freetype2-2017,waffle,4.279,155.032,5.743125731707317,5.26,5.647086075444338
libjpeg-turbo-07-2017,afl,3.387,38.291,4.729550607287449,3.963,2.6745775624626016
libjpeg-turbo-07-2017,aflfast,3.319,71.64,5.321628828828829,4.129,4.374767830283105
libjpeg-turbo-07-2017,aflplusplus,3.069,258.81,4.487764629388817,3.725,6.025861085437169
libjpeg-turbo-07-2017,waffle,3.147,81.365,4.669502138057422,3.984,2.8849244189337044
libpng-1.2.56,afl,2.793,34.874,5.071565977742448,3.849,3.8824366840826534
libpng-1.2.56,aflfast,2.978,64.937,4.977995268138801,3.8455,3.9670483886422505
libpng-1.2.56,aflplusplus,2.841,65.197,4.1012339181286555,3.5915,3.003674063672776
libpng-1.2.56,waffle,2.868,295.132,12.157483920367534,3.926,31.245755608426816
libxml2-v2.9.2,afl,6.041,85.051,7.7293379218472476,7.5245,1.5515327615678218
libxml2-v2.9.2,aflfast,5.26,67.569,6.222073708456729,6.0755,1.0643879508366434
libxml2-v2.9.2,aflplusplus,5.075,100.838,6.133035792094615,5.907,1.781522983042271
libxml2-v2.9.2,waffle,5.298,188.016,8.391509595677288,6.215,13.071212820571827
